file,line,column,type,code,message,docs,severity,link
includes/class-admin.php,175,48,ERROR,WordPress.WP.I18n.MissingTranslatorsComment,"A function call to esc_html__() with texts containing placeholders was found, but was not accompanied by a ""translators:"" comment on the line above to clarify the meaning of the placeholders.",https://developer.wordpress.org/plugins/internationalization/how-to-internationalize-your-plugin/#descriptions,5,https://webclyde.com/wp-admin/plugin-editor.php?plugin=content-vault%2Fcontent-vault.php&file=content-vault%2Fincludes%2Fclass-admin.php&line=175
includes/class-admin.php,276,176,ERROR,WordPress.Security.EscapeOutput.OutputNotEscaped,"All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found '$checked'.",https://developer.wordpress.org/apis/security/escaping/#escaping-functions,5,https://webclyde.com/wp-admin/plugin-editor.php?plugin=content-vault%2Fcontent-vault.php&file=content-vault%2Fincludes%2Fclass-admin.php&line=276
includes/class-admin.php,816,13,WARNING,WordPress.DB.PreparedSQL.InterpolatedNotPrepared,"Use placeholders and $wpdb-&gt;prepare(); found interpolated variable {$table_name} at &quot;SELECT * FROM {$table_name} WHERE post_id = %d ORDER BY created_at DESC LIMIT 1&quot;",,5,https://webclyde.com/wp-admin/plugin-editor.php?plugin=content-vault%2Fcontent-vault.php&file=content-vault%2Fincludes%2Fclass-admin.php&line=816
includes/class-admin.php,908,13,WARNING,WordPress.DB.PreparedSQL.InterpolatedNotPrepared,"Use placeholders and $wpdb-&gt;prepare(); found interpolated variable {$table_name} at &quot;SELECT * FROM {$table_name} WHERE post_id = %d ORDER BY created_at DESC LIMIT 1&quot;",,5,https://webclyde.com/wp-admin/plugin-editor.php?plugin=content-vault%2Fcontent-vault.php&file=content-vault%2Fincludes%2Fclass-admin.php&line=908
includes/class-admin.php,990,19,WARNING,WordPress.Security.NonceVerification.Recommended,"Processing form data without nonce verification.",,5,https://webclyde.com/wp-admin/plugin-editor.php?plugin=content-vault%2Fcontent-vault.php&file=content-vault%2Fincludes%2Fclass-admin.php&line=990
includes/class-admin.php,994,24,WARNING,WordPress.Security.NonceVerification.Recommended,"Processing form data without nonce verification.",,5,https://webclyde.com/wp-admin/plugin-editor.php?plugin=content-vault%2Fcontent-vault.php&file=content-vault%2Fincludes%2Fclass-admin.php&line=994
includes/class-404-handler.php,49,17,WARNING,WordPress.Security.SafeRedirect.wp_redirect_wp_redirect,"wp_redirect() found. Using wp_safe_redirect(), along with the &quot;allowed_redirect_hosts&quot; filter if needed, can help avoid any chances of malicious redirects within code. It is also important to remember to call exit() after a redirect so that no other unwanted code is executed.",https://developer.wordpress.org/reference/functions/wp_safe_redirect/,5,https://webclyde.com/wp-admin/plugin-editor.php?plugin=content-vault%2Fcontent-vault.php&file=content-vault%2Fincludes%2Fclass-404-handler.php&line=49
includes/class-404-handler.php,81,21,WARNING,WordPress.DB.PreparedSQL.InterpolatedNotPrepared,"Use placeholders and $wpdb-&gt;prepare(); found interpolated variable {$table_name} at &quot;SELECT snapshot_url FROM {$table_name} \n",,5,https://webclyde.com/wp-admin/plugin-editor.php?plugin=content-vault%2Fcontent-vault.php&file=content-vault%2Fincludes%2Fclass-404-handler.php&line=81
includes/class-404-handler.php,196,62,ERROR,WordPress.WP.I18n.MissingTranslatorsComment,"A function call to __() with texts containing placeholders was found, but was not accompanied by a ""translators:"" comment on the line above to clarify the meaning of the placeholders.",https://developer.wordpress.org/plugins/internationalization/how-to-internationalize-your-plugin/#descriptions,5,https://webclyde.com/wp-admin/plugin-editor.php?plugin=content-vault%2Fcontent-vault.php&file=content-vault%2Fincludes%2Fclass-404-handler.php&line=196
includes/class-404-handler.php,196,155,ERROR,WordPress.WP.AlternativeFunctions.parse_url_parse_url,"parse_url() is discouraged because of inconsistency in the output across PHP versions; use wp_parse_url() instead.",,5,https://webclyde.com/wp-admin/plugin-editor.php?plugin=content-vault%2Fcontent-vault.php&file=content-vault%2Fincludes%2Fclass-404-handler.php&line=196
readme.txt,0,0,ERROR,outdated_tested_upto_header,"Tested up to: 6.9 < 7.0. The ""Tested up to"" value in your plugin is not set to the current version of WordPress. This means your plugin will not show up in searches, as we require plugins to be compatible and documented as tested up to the most recent version of WordPress.",https://developer.wordpress.org/plugins/wordpress-org/how-your-readme-txt-works/#readme-header-information,7,https://webclyde.com/wp-admin/plugin-editor.php?plugin=content-vault%2Fcontent-vault.php&file=content-vault%2Freadme.txt
